hotspot_id,latitude,longitude,observation_count,dominant_disease,dominance_ratio,average_confidence
66,40.00195000,-73.99960000,6,Blight,1.0000,0.9911
67,40.00205000,-73.99930000,6,Blight,1.0000,1.0000
68,40.00205000,-73.99900000,6,Blight,1.0000,0.9993
69,40.00205000,-73.99870000,6,Blight,1.0000,0.9974
70,40.00205000,-73.99840000,6,Blight,1.0000,0.9999
71,40.00205000,-73.99815000,4,Blight,1.0000,0.9999
72,40.00221667,-73.99988333,6,Blight,1.0000,0.9978
73,40.00215000,-73.99960000,6,Blight,1.0000,0.9999
74,40.00225000,-73.99930000,6,Blight,1.0000,0.9987
75,40.00225000,-73.99900000,6,Blight,1.0000,0.9995
76,40.00225000,-73.99870000,6,Blight,1.0000,0.9974
77,40.00225000,-73.99840000,6,Blight,1.0000,0.9993
78,40.00225000,-73.99815000,4,Blight,1.0000,1.0000
79,40.00240000,-73.99992000,5,Blight,1.0000,0.9995
80,40.00235000,-73.99960000,6,Blight,1.0000,0.9996
81,40.00245000,-73.99930000,6,Blight,1.0000,0.9999
82,40.00245000,-73.99900000,6,Blight,1.0000,0.9967
83,40.00245000,-73.99870000,6,Blight,1.0000,0.9999
84,40.00245000,-73.99840000,6,Blight,1.0000,0.9999
85,40.00245000,-73.99815000,4,Blight,1.0000,1.0000
86,40.00260000,-73.99992000,5,Blight,1.0000,0.9998
87,40.00254000,-73.99968000,5,Blight,1.0000,1.0000
88,40.00260000,-73.99942000,5,Blight,1.0000,0.9997
89,40.00265000,-73.99910000,6,Blight,1.0000,0.9997
90,40.00265000,-73.99880000,6,Blight,1.0000,0.9986
91,40.00264000,-73.99852000,5,Blight,1.0000,0.9999
92,40.00265000,-73.99820000,6,Blight,1.0000,1.0000
93,40.00280000,-73.99992000,5,Blight,1.0000,0.9991
94,40.00274000,-73.99968000,5,Blight,1.0000,0.9933
95,40.00276667,-73.99946667,3,Blight,1.0000,0.9999
96,40.00282000,-73.99918000,5,Blight,1.0000,0.9996
97,40.00285000,-73.99890000,6,Blight,1.0000,0.9985
98,40.00285000,-73.99860000,6,Blight,1.0000,0.9992
99,40.00285000,-73.99830000,6,Blight,1.0000,0.9955
100,40.00300000,-73.99992000,5,Blight,1.0000,0.9950
101,40.00294000,-73.99968000,5,Blight,1.0000,0.9991
102,40.00295000,-73.99940000,6,Blight,1.0000,0.9973
103,40.00305000,-73.99910000,6,Blight,1.0000,0.9962
104,40.00310000,-73.99882000,5,Blight,1.0000,0.9975
105,40.00304000,-73.99858000,5,Blight,1.0000,0.9951
106,40.00305000,-73.99830000,6,Blight,1.0000,0.9941
107,40.00320000,-73.99992000,5,Blight,1.0000,0.9976
108,40.00314000,-73.99968000,5,Blight,1.0000,0.9981
109,40.00316667,-73.99946667,3,Blight,1.0000,0.9982
110,40.00322000,-73.99918000,5,Blight,1.0000,0.9981
111,40.00326000,-73.99892000,5,Blight,1.0000,0.9951
112,40.00330000,-73.99862000,5,Blight,1.0000,0.9902
113,40.00325000,-73.99840000,4,Blight,1.0000,0.9951
114,40.00325000,-73.99815000,4,Blight,1.0000,0.9945
115,40.00336667,-73.99996667,3,Blight,1.0000,0.9889
116,40.00332500,-73.99967500,4,Blight,1.0000,0.9988
117,40.00334000,-73.99940000,5,Blight,0.8000,0.9951
118,40.00345000,-73.99915000,4,Blight,1.0000,0.9980
119,40.00345000,-73.99880000,6,Blight,1.0000,0.9938
120,40.00345000,-73.99840000,6,Blight,1.0000,0.9925
121,40.00345000,-73.99815000,4,Blight,1.0000,0.9984
122,40.00354000,-73.99992000,5,Blight,1.0000,0.9939
123,40.00354000,-73.99960000,5,Blight,1.0000,0.9958
124,40.00356000,-73.99932000,5,Blight,1.0000,0.9897
125,40.00361667,-73.99858333,6,Blight,1.0000,0.9934
126,40.00365000,-73.99900000,6,Blight,1.0000,0.9944
127,40.00366667,-73.99876667,3,Blight,1.0000,0.9983
128,40.00364000,-73.99828000,5,Blight,1.0000,0.9994
129,40.00374000,-73.99988000,5,Blight,1.0000,0.9993
130,40.00375000,-73.99960000,6,Blight,1.0000,0.9959
131,40.00375000,-73.99930000,6,Blight,1.0000,0.9974
132,40.00384000,-73.99902000,5,Blight,1.0000,0.9950
133,40.00382500,-73.99870000,4,Blight,1.0000,0.9966
134,40.00384000,-73.99840000,5,Blight,1.0000,0.9959
135,40.00386667,-73.99813333,3,Blight,1.0000,0.9902
136,40.00395000,-73.99990000,6,Blight,1.0000,0.9973
137,40.00395000,-73.99950000,6,Blight,1.0000,0.9996
138,40.00395000,-73.99920000,4,Blight,1.0000,0.9971
139,40.00411667,-73.99968333,6,Blight,1.0000,0.9943
140,40.00405000,-73.99890000,6,Blight,1.0000,0.9935
141,40.00404000,-73.99860000,5,Blight,1.0000,0.9999
142,40.00405000,-73.99830000,6,Blight,1.0000,0.9922
143,40.00415000,-73.99990000,4,Blight,1.0000,0.9933
144,40.00416000,-73.99942000,5,Blight,1.0000,0.9988
145,40.00420000,-73.99912000,5,Blight,1.0000,0.9992
146,40.00425000,-73.99870000,6,Blight,1.0000,0.9971
147,40.00422500,-73.99837500,4,Blight,1.0000,0.9854
148,40.00423333,-73.99813333,3,Blight,1.0000,0.9997
149,40.00435000,-73.99990000,6,Blight,1.0000,0.9996
150,40.00435000,-73.99960000,6,Blight,1.0000,0.9970
151,40.00435000,-73.99930000,6,Blight,1.0000,0.9897
152,40.00436000,-73.99892000,5,Blight,1.0000,0.9948
153,40.00445000,-73.99840000,6,Blight,1.0000,0.9989
154,40.00445000,-73.99815000,4,Blight,1.0000,0.9957
155,40.00455000,-73.99990000,6,Blight,1.0000,0.9993
156,40.00455000,-73.99960000,6,Blight,1.0000,0.9978
157,40.00455000,-73.99930000,6,Blight,1.0000,0.9954
158,40.00455000,-73.99900000,6,Blight,1.0000,0.9966
159,40.00455000,-73.99870000,6,Blight,1.0000,0.9987
160,40.00465000,-73.99840000,6,Blight,1.0000,0.9940
161,40.00466667,-73.99813333,3,Blight,1.0000,0.9991
162,40.00475000,-73.99990000,6,Blight,1.0000,0.9999
163,40.00475000,-73.99960000,6,Blight,1.0000,0.9971
164,40.00474000,-73.99930000,5,Blight,1.0000,0.9942
165,40.00480000,-73.99902000,5,Blight,1.0000,0.9956
166,40.00472500,-73.99880000,4,Blight,1.0000,1.0000
167,40.00477500,-73.99852500,4,Blight,1.0000,1.0000
168,40.00486667,-73.99823333,3,Blight,1.0000,0.9995
169,40.00500000,-73.99992000,5,Blight,1.0000,0.9925
170,40.00492500,-73.99967500,4,Blight,1.0000,0.9975
171,40.00495000,-73.99940000,6,Blight,1.0000,0.9948
172,40.00500000,-73.99912000,5,Blight,1.0000,0.9943
173,40.00496000,-73.99882000,5,Blight,1.0000,0.9940
174,40.00500000,-73.99852000,5,Blight,1.0000,0.9992
175,40.00502000,-73.99828000,5,Blight,1.0000,0.9995
176,40.00520000,-73.99992000,5,Blight,1.0000,0.9971
177,40.00514000,-73.99968000,5,Blight,1.0000,0.9957
178,40.00515000,-73.99940000,6,Blight,1.0000,0.9948
179,40.00520000,-73.99912000,5,Blight,1.0000,0.9948
180,40.00514000,-73.99888000,5,Blight,1.0000,0.9997
181,40.00513333,-73.99866667,3,Blight,1.0000,0.9874
182,40.00521667,-73.99838333,6,Blight,1.0000,0.9971
183,40.00525000,-73.99815000,4,Blight,1.0000,0.9996
184,40.00536667,-73.99996667,3,Blight,1.0000,0.9997
185,40.00534000,-73.99968000,5,Blight,1.0000,0.9986
186,40.00535000,-73.99940000,6,Blight,1.0000,0.9993
187,40.00540000,-73.99912000,5,Blight,1.0000,0.9973
188,40.00534000,-73.99888000,5,Blight,1.0000,0.9966
189,40.00535000,-73.99860000,6,Blight,1.0000,0.9980
190,40.00544000,-73.99828000,5,Blight,1.0000,0.9999
191,40.00555000,-73.99990000,6,Blight,1.0000,0.9994
192,40.00555000,-73.99960000,6,Blight,1.0000,0.9936
193,40.00555000,-73.99935000,4,Blight,1.0000,0.9998
194,40.00555000,-73.99890000,6,Blight,1.0000,0.9972
195,40.00555000,-73.99860000,6,Blight,1.0000,0.9995
196,40.00571667,-73.99908333,6,Blight,1.0000,0.9935
197,40.00565000,-73.99830000,6,Blight,1.0000,0.9994
198,40.00575000,-73.99990000,6,Blight,1.0000,0.9998
199,40.00574000,-73.99958000,5,Blight,1.0000,0.9984
200,40.00576000,-73.99932000,5,Blight,1.0000,0.9998
201,40.00574000,-73.99878000,5,Blight,1.0000,0.9984
202,40.02113333,-73.99976667,3,LeafSpot,1.0000,0.9957
203,40.02114000,-73.99942000,5,LeafSpot,1.0000,0.9910
204,40.02114000,-73.99898000,5,LeafSpot,1.0000,0.9832
205,40.02114000,-73.99870000,5,LeafSpot,1.0000,0.9820
206,40.02113333,-73.99836667,3,LeafSpot,1.0000,0.9897
207,40.02116667,-73.99813333,3,LeafSpot,1.0000,0.9773
208,40.02131667,-73.99848333,6,LeafSpot,1.0000,0.9958
209,40.02136000,-73.99962000,5,LeafSpot,0.8000,0.9884
210,40.02132500,-73.99930000,4,LeafSpot,1.0000,0.9851
211,40.02133333,-73.99906667,3,LeafSpot,1.0000,0.9886
212,40.02134000,-73.99818000,5,LeafSpot,1.0000,0.9883
213,40.02142500,-73.99990000,4,LeafSpot,1.0000,0.9713
214,40.02150000,-73.99852000,5,LeafSpot,1.0000,0.9961
215,40.02161667,-73.99968333,6,LeafSpot,1.0000,0.9922
216,40.02160000,-73.99942000,5,LeafSpot,1.0000,0.9995
217,40.02155000,-73.99920000,4,LeafSpot,1.0000,0.9950
218,40.02155000,-73.99890000,6,LeafSpot,1.0000,0.9924
219,40.02155000,-73.99820000,6,LeafSpot,1.0000,1.0000
220,40.02166000,-73.99992000,5,LeafSpot,1.0000,0.9995
221,40.02166000,-73.99862000,5,LeafSpot,1.0000,1.0000
222,40.02170000,-73.99832000,5,LeafSpot,1.0000,0.9999
223,40.02181667,-73.99948333,6,LeafSpot,1.0000,0.9998
224,40.02175000,-73.99920000,6,LeafSpot,1.0000,0.9999
225,40.02175000,-73.99890000,6,LeafSpot,1.0000,0.9997
226,40.02176667,-73.99813333,3,LeafSpot,1.0000,1.0000
227,40.02185000,-73.99990000,6,LeafSpot,1.0000,1.0000
228,40.02186667,-73.99966667,3,LeafSpot,1.0000,0.9999
229,40.02191667,-73.99868333,6,LeafSpot,1.0000,0.9998
230,40.02186000,-73.99842000,5,LeafSpot,1.0000,1.0000
231,40.02195000,-73.99920000,6,LeafSpot,1.0000,0.9998
232,40.02196000,-73.99892000,5,LeafSpot,1.0000,0.9996
233,40.02195000,-73.99815000,4,LeafSpot,1.0000,0.9988
234,40.02205000,-73.99990000,6,LeafSpot,1.0000,0.9973
235,40.02205000,-73.99960000,6,LeafSpot,1.0000,1.0000
236,40.02210000,-73.99932000,5,LeafSpot,1.0000,0.9999
237,40.02205000,-73.99840000,6,LeafSpot,1.0000,0.9954
238,40.02215000,-73.99900000,6,LeafSpot,1.0000,0.9998
239,40.02215000,-73.99870000,6,LeafSpot,1.0000,1.0000
240,40.02215000,-73.99815000,4,LeafSpot,1.0000,1.0000
241,40.02225000,-73.99990000,6,LeafSpot,1.0000,0.9991
242,40.02225000,-73.99960000,6,LeafSpot,1.0000,0.9998
243,40.02230000,-73.99932000,5,LeafSpot,1.0000,0.9997
244,40.02226667,-73.99910000,3,LeafSpot,1.0000,1.0000
245,40.02225000,-73.99840000,6,LeafSpot,1.0000,0.9990
246,40.02234000,-73.99878000,5,LeafSpot,1.0000,1.0000
247,40.02240000,-73.99852000,5,LeafSpot,1.0000,0.9917
248,40.02235000,-73.99815000,4,LeafSpot,1.0000,0.9999
249,40.02245000,-73.99990000,6,LeafSpot,1.0000,0.9997
250,40.02245000,-73.99960000,6,LeafSpot,1.0000,1.0000
251,40.02250000,-73.99932000,5,LeafSpot,1.0000,1.0000
252,40.02252000,-73.99908000,5,LeafSpot,1.0000,0.9992
253,40.02252000,-73.99888000,5,LeafSpot,1.0000,0.9967
254,40.02251667,-73.99828333,6,LeafSpot,1.0000,0.9989
255,40.02255000,-73.99865000,4,LeafSpot,1.0000,0.9990
256,40.02265000,-73.99990000,6,LeafSpot,1.0000,0.9979
257,40.02265000,-73.99960000,6,LeafSpot,1.0000,0.9996
258,40.02270000,-73.99932000,5,LeafSpot,1.0000,0.9998
259,40.02271667,-73.99838333,6,LeafSpot,1.0000,0.9848
260,40.02275000,-73.99890000,4,LeafSpot,1.0000,0.9998
261,40.02276000,-73.99862000,5,LeafSpot,1.0000,0.9995
262,40.02285000,-73.99990000,6,LeafSpot,1.0000,0.9986
263,40.02285000,-73.99965000,4,LeafSpot,1.0000,0.9885
264,40.02290000,-73.99932000,5,LeafSpot,1.0000,0.9999
265,40.02285000,-73.99910000,4,LeafSpot,1.0000,0.9965
266,40.02293333,-73.99886667,3,LeafSpot,1.0000,0.9943
267,40.02295000,-73.99850000,6,LeafSpot,1.0000,0.9908
268,40.02295000,-73.99820000,6,LeafSpot,1.0000,0.9976
269,40.02304000,-73.99990000,5,LeafSpot,1.0000,0.9932
270,40.02305000,-73.99960000,6,LeafSpot,1.0000,0.9976
271,40.02310000,-73.99932000,5,LeafSpot,1.0000,0.9954
272,40.02302500,-73.99907500,4,LeafSpot,1.0000,0.9979
273,40.02311667,-73.99868333,6,LeafSpot,1.0000,0.9998
274,40.02317500,-73.99890000,4,LeafSpot,1.0000,0.9908
275,40.02315000,-73.99840000,6,LeafSpot,1.0000,0.9997
276,40.02315000,-73.99815000,4,LeafSpot,1.0000,0.9982
277,40.02324000,-73.99990000,5,LeafSpot,1.0000,0.9977
278,40.02325000,-73.99960000,6,LeafSpot,1.0000,0.9889
279,40.02330000,-73.99932000,5,LeafSpot,1.0000,0.9984
280,40.02332000,-73.99908000,5,LeafSpot,1.0000,0.9992
281,40.02335000,-73.99870000,6,LeafSpot,1.0000,0.9997
282,40.02335000,-73.99840000,6,LeafSpot,1.0000,0.9982
283,40.02335000,-73.99815000,4,LeafSpot,1.0000,0.9971
284,40.02345000,-73.99990000,6,LeafSpot,1.0000,0.9929
285,40.02345000,-73.99960000,6,LeafSpot,1.0000,0.9999
286,40.02351667,-73.99918333,6,LeafSpot,1.0000,0.9972
287,40.02350000,-73.99890000,5,LeafSpot,1.0000,0.9947
288,40.02361667,-73.99938333,6,LeafSpot,1.0000,0.9912
289,40.02355000,-73.99860000,6,LeafSpot,1.0000,0.9953
290,40.02355000,-73.99830000,6,LeafSpot,1.0000,0.9949
291,40.02364000,-73.99990000,5,LeafSpot,1.0000,0.9952
292,40.02370000,-73.99900000,5,LeafSpot,1.0000,1.0000
293,40.02382000,-73.99918000,5,LeafSpot,1.0000,0.9952
294,40.02375000,-73.99870000,6,LeafSpot,1.0000,0.9920
295,40.02376000,-73.99842000,5,LeafSpot,1.0000,0.9995
296,40.02375000,-73.99815000,4,LeafSpot,1.0000,0.9994
297,40.02385000,-73.99990000,6,LeafSpot,1.0000,0.9928
298,40.02385000,-73.99960000,6,LeafSpot,1.0000,0.9972
299,40.02386667,-73.99936667,3,LeafSpot,1.0000,0.9943
300,40.02396000,-73.99892000,5,LeafSpot,1.0000,0.9960
301,40.02395000,-73.99860000,6,LeafSpot,1.0000,0.9923
302,40.02394000,-73.99830000,5,LeafSpot,1.0000,0.9985
303,40.02405000,-73.99990000,6,LeafSpot,1.0000,0.9982
304,40.02405000,-73.99950000,6,LeafSpot,1.0000,0.9971
305,40.02405000,-73.99920000,6,LeafSpot,1.0000,0.9990
306,40.02421667,-73.99968333,6,LeafSpot,1.0000,0.9997
307,40.02415000,-73.99890000,6,LeafSpot,1.0000,0.9992
308,40.02415000,-73.99860000,6,LeafSpot,1.0000,0.9983
309,40.02414000,-73.99830000,5,LeafSpot,1.0000,0.9925
310,40.02426000,-73.99992000,5,LeafSpot,1.0000,0.9961
311,40.02424000,-73.99942000,5,LeafSpot,1.0000,0.9955
312,40.02426000,-73.99912000,5,LeafSpot,1.0000,0.9911
313,40.02441667,-73.99818333,6,Mildew,0.8333,0.9989
314,40.02445000,-73.99990000,6,Mildew,1.0000,0.9996
315,40.02444000,-73.99958000,5,Mildew,1.0000,1.0000
316,40.02445000,-73.99930000,6,Mildew,1.0000,0.9992
317,40.02446000,-73.99902000,5,Mildew,1.0000,0.9999
318,40.02455000,-73.99870000,6,Mildew,1.0000,1.0000
319,40.02455000,-73.99840000,6,Mildew,1.0000,1.0000
320,40.02465000,-73.99990000,6,Mildew,1.0000,1.0000
321,40.02465000,-73.99960000,6,Mildew,1.0000,1.0000
322,40.02465000,-73.99930000,6,Mildew,1.0000,0.9997
323,40.02465000,-73.99900000,6,Mildew,1.0000,0.9999
324,40.02465000,-73.99815000,4,Mildew,1.0000,1.0000
325,40.02475000,-73.99870000,6,Mildew,1.0000,0.9998
326,40.02475000,-73.99840000,6,Mildew,1.0000,1.0000
327,40.02485000,-73.99990000,6,Mildew,1.0000,0.9995
328,40.02485000,-73.99960000,6,Mildew,1.0000,0.9999
329,40.02485000,-73.99930000,6,Mildew,1.0000,0.9990
330,40.02485000,-73.99900000,6,Mildew,1.0000,0.9994
331,40.02485000,-73.99815000,4,Mildew,1.0000,1.0000
332,40.02495000,-73.99870000,6,Mildew,1.0000,0.9997
333,40.02495000,-73.99840000,6,Mildew,1.0000,1.0000
334,40.02505000,-73.99990000,6,Mildew,1.0000,0.9997
335,40.02506000,-73.99962000,5,Mildew,1.0000,1.0000
336,40.02505000,-73.99930000,6,Mildew,1.0000,0.9999
337,40.02505000,-73.99900000,6,Mildew,1.0000,0.9995
338,40.02505000,-73.99815000,4,Mildew,1.0000,0.9991
339,40.02515000,-73.99870000,6,Mildew,1.0000,1.0000
340,40.02515000,-73.99840000,6,Mildew,1.0000,0.9957
341,40.02525000,-73.99990000,6,Mildew,1.0000,0.9999
342,40.02525000,-73.99960000,6,Mildew,1.0000,0.9972
343,40.02525000,-73.99930000,6,Mildew,1.0000,0.9992
344,40.02530000,-73.99902000,5,Mildew,1.0000,0.9998
345,40.02532000,-73.99878000,5,Mildew,1.0000,0.9996
346,40.02525000,-73.99815000,4,Mildew,1.0000,0.9998
347,40.02535000,-73.99850000,6,Mildew,1.0000,1.0000
348,40.02540000,-73.99822000,5,Mildew,1.0000,1.0000
349,40.02545000,-73.99990000,6,Mildew,1.0000,1.0000
350,40.02545000,-73.99960000,6,Mildew,1.0000,1.0000
351,40.02545000,-73.99930000,6,Mildew,1.0000,0.9996
352,40.02550000,-73.99902000,5,Mildew,1.0000,1.0000
353,40.02552000,-73.99878000,5,Mildew,1.0000,0.9997
354,40.02554000,-73.99850000,5,Mildew,1.0000,0.9999
355,40.02560000,-73.99822000,5,Mildew,1.0000,1.0000
356,40.02565000,-73.99990000,6,Mildew,1.0000,1.0000
357,40.02565000,-73.99960000,6,Mildew,1.0000,0.9999
358,40.02564000,-73.99928000,5,Mildew,1.0000,1.0000
359,40.02570000,-73.99902000,5,Mildew,1.0000,0.9992
360,40.02572000,-73.99878000,5,Mildew,1.0000,0.9999
361,40.02575000,-73.99850000,6,Mildew,1.0000,1.0000
362,40.02580000,-73.99822000,5,Mildew,1.0000,1.0000
363,40.02585000,-73.99990000,6,Mildew,1.0000,1.0000
364,40.02585000,-73.99960000,6,Mildew,1.0000,0.9998
365,40.02585000,-73.99930000,6,Mildew,1.0000,1.0000
366,40.02590000,-73.99902000,5,Mildew,1.0000,1.0000
367,40.02592000,-73.99878000,5,Mildew,1.0000,1.0000
368,40.02595000,-73.99850000,6,Mildew,1.0000,0.9998
369,40.02600000,-73.99822000,5,Mildew,1.0000,1.0000
370,40.02605000,-73.99990000,6,Mildew,1.0000,1.0000
371,40.02605000,-73.99960000,6,Mildew,1.0000,1.0000
372,40.02605000,-73.99930000,6,Mildew,1.0000,1.0000
373,40.02610000,-73.99902000,5,Mildew,1.0000,1.0000
374,40.02612000,-73.99878000,5,Mildew,1.0000,1.0000
375,40.02615000,-73.99850000,6,Mildew,1.0000,0.9999
376,40.02620000,-73.99822000,5,Mildew,1.0000,1.0000
377,40.02625000,-73.99990000,6,Mildew,1.0000,1.0000
378,40.02625000,-73.99960000,6,Mildew,1.0000,0.9999
379,40.02625000,-73.99930000,6,Mildew,1.0000,1.0000
380,40.02630000,-73.99902000,5,Mildew,1.0000,1.0000
381,40.02632000,-73.99878000,5,Mildew,1.0000,1.0000
382,40.02635000,-73.99850000,6,Mildew,1.0000,1.0000
383,40.02640000,-73.99822000,5,Mildew,1.0000,0.9998
384,40.02645000,-73.99990000,6,Mildew,1.0000,1.0000
385,40.02645000,-73.99960000,6,Mildew,1.0000,1.0000
386,40.02645000,-73.99930000,6,Mildew,1.0000,0.9966
387,40.02650000,-73.99902000,5,Mildew,1.0000,1.0000
388,40.02652000,-73.99878000,5,Mildew,1.0000,0.9996
389,40.02655000,-73.99850000,6,Mildew,1.0000,1.0000
390,40.02660000,-73.99822000,5,Mildew,1.0000,1.0000
391,40.02665000,-73.99990000,6,Mildew,1.0000,1.0000
392,40.02665000,-73.99960000,6,Mildew,1.0000,0.9999
393,40.02665000,-73.99930000,6,Mildew,1.0000,1.0000
394,40.02670000,-73.99902000,5,Mildew,1.0000,1.0000
395,40.02672000,-73.99878000,5,Mildew,1.0000,0.9999
396,40.02675000,-73.99850000,6,Mildew,1.0000,1.0000
397,40.02680000,-73.99822000,5,Mildew,1.0000,0.9994
398,40.02685000,-73.99990000,6,Mildew,1.0000,0.9999
399,40.02685000,-73.99960000,6,Mildew,1.0000,0.9995
400,40.02685000,-73.99930000,6,Mildew,1.0000,0.9996
401,40.02690000,-73.99902000,5,Mildew,1.0000,1.0000
402,40.02692000,-73.99878000,5,Mildew,1.0000,1.0000
403,40.02695000,-73.99850000,6,Mildew,1.0000,0.9989
404,40.02700000,-73.99822000,5,Mildew,1.0000,1.0000
405,40.02705000,-73.99990000,6,Mildew,1.0000,1.0000
406,40.02705000,-73.99960000,6,Mildew,1.0000,0.9997
407,40.02705000,-73.99930000,6,Mildew,1.0000,1.0000
408,40.02710000,-73.99902000,5,Mildew,1.0000,1.0000
409,40.02712000,-73.99878000,5,Mildew,1.0000,0.9999
410,40.02715000,-73.99850000,6,Mildew,1.0000,0.9986
411,40.02720000,-73.99822000,5,Rust,0.8000,1.0000
412,40.02730000,-73.99902000,5,Rust,0.8000,1.0000
413,40.02732000,-73.99878000,5,Rust,0.8000,1.0000
414,40.02735000,-73.99850000,6,Rust,1.0000,0.9993
415,40.02740000,-73.99822000,5,Rust,1.0000,1.0000
416,40.02745000,-73.99990000,6,Rust,1.0000,1.0000
417,40.02745000,-73.99960000,6,Rust,1.0000,1.0000
418,40.02745000,-73.99930000,6,Rust,1.0000,1.0000
419,40.02750000,-73.99902000,5,Rust,1.0000,0.9977
420,40.02752000,-73.99878000,5,Rust,1.0000,0.9973
421,40.02755000,-73.99850000,6,Rust,1.0000,1.0000
422,40.02760000,-73.99822000,5,Rust,1.0000,1.0000
423,40.02765000,-73.99990000,6,Rust,1.0000,0.9999
424,40.02765000,-73.99960000,6,Rust,1.0000,1.0000
425,40.02765000,-73.99930000,6,Rust,1.0000,0.9988
426,40.02770000,-73.99902000,5,Rust,1.0000,0.9998
427,40.02770000,-73.99880000,4,Rust,1.0000,1.0000
428,40.02775000,-73.99850000,6,Rust,1.0000,1.0000
429,40.02782000,-73.99818000,5,Rust,1.0000,1.0000
430,40.02784000,-73.99988000,5,Rust,1.0000,0.9999
431,40.02785000,-73.99960000,6,Rust,1.0000,1.0000
432,40.02785000,-73.99930000,6,Rust,1.0000,0.9997
433,40.02790000,-73.99902000,5,Rust,1.0000,1.0000
434,40.02792000,-73.99878000,5,Rust,1.0000,0.9999
435,40.02795000,-73.99850000,6,Rust,1.0000,1.0000
